modified_date,jobcountry,AI_count,total,ma_share_perc
2019-01-01,AU,1228,55793,2.2009929561056
2019-01-01,CA,4663,261172,1.78541344401391
2019-01-01,DE,11511,569676,2.02062224843595
2019-01-01,ES,1025,32494,3.15442850987875
2019-01-01,FR,6974,270992,2.5735077050245
2019-01-01,GB,8141,366498,2.22129452275319
2019-01-01,IE,748,18110,4.13031474323578
2019-01-01,IN,7753,206157,3.76072604859403
2019-01-01,SG,1678,28801,5.82618659074338
2019-01-01,US,72307,4256469,1.69875547079046
2019-01-02,AU,1257,56817,2.20667948665938
2019-01-02,CA,4679,260215,1.7917709573508
2019-01-02,DE,11426,567645,2.01675000767507
2019-01-02,ES,1008,32333,3.13599321142346
2019-01-02,FR,6938,269233,2.57522889086193
2019-01-02,GB,8095,364357,2.22150831248856
2019-01-02,IE,751,18109,4.13871195773529
2019-01-02,IN,7712,207651,3.73732494598292
2019-01-02,SG,1686,28934,5.82662063345146
2019-01-02,US,72142,4250119,1.69808338340179
2019-01-03,AU,1259,57280,2.20377794455132
2019-01-03,CA,4702,263473,1.78938833567029
2019-01-03,DE,11506,569040,2.01850066119244
2019-01-03,ES,1015,32487,3.13210435886178
2019-01-03,FR,6930,270454,2.57093863022713
2019-01-03,GB,8155,371117,2.21347894851815
2019-01-03,IE,746,18478,4.10488579409867
2019-01-03,IN,7717,207992,3.72829624910214
2019-01-03,SG,1673,28954,5.81045736503773
2019-01-03,US,71960,4293188,1.69077015411701
2019-01-04,AU,1271,57862,2.20198488767622
2019-01-04,CA,4753,266701,1.78757763894287
2019-01-04,DE,11541,568972,2.02097426349625
2019-01-04,ES,1016,32511,3.13035229947453
2019-01-04,FR,6950,270849,2.56970532582284
2019-01-04,GB,8176,377252,2.20192211098888
2019-01-04,IE,761,18881,4.08629106026072
2019-01-04,IN,8213,212161,3.76400137338776
2019-01-04,SG,1690,29138,5.80783959183376
2019-01-04,US,73518,4321500,1.69338132957596
2019-01-05,AU,1225,56511,2.19513182194576
2019-01-05,CA,4655,264915,1.78149558981726
2019-01-05,DE,11521,571545,2.01993226840226
2019-01-05,ES,1012,32097,3.13487036810254
2019-01-05,FR,6903,270741,2.56569810887484
2019-01-05,GB,8051,380073,2.18519314445357
2019-01-05,IE,752,18719,4.07249457159124
2019-01-05,IN,8040,211954,3.76985627860773
2019-01-05,SG,1653,28520,5.80545820923138
2019-01-05,US,72265,4278561,1.6925055531244
2019-01-06,AU,1248,56615,2.19667031851775
2019-01-06,CA,4750,265942,1.78226361433189
2019-01-06,DE,11469,570473,2.01834971586772
2019-01-06,ES,1006,32302,3.13145168076405
2019-01-06,FR,6882,269927,2.56301146061175
2019-01-06,GB,8203,380122,2.18065951733036
2019-01-06,IE,779,19151,4.07169092739038
2019-01-06,IN,7927,203500,3.79076884806173
2019-01-06,SG,1690,28850,5.8141961102347
2019-01-06,US,73558,4311083,1.69479685991513
2019-01-07,AU,1256,57343,2.19576432656765
2019-01-07,CA,4716,262185,1.78461594149259
2019-01-07,DE,11483,570129,2.01774341068868
2019-01-07,ES,992,32047,3.12630909102556
2019-01-07,FR,6814,268820,2.55897862884878
2019-01-07,GB,8102,373678,2.17887628336308
2019-01-07,IE,779,18903,4.07874065040894
2019-01-07,IN,8216,211380,3.80449313667986
2019-01-07,SG,1687,29034,5.81365797334812
2019-01-07,US,73332,4291234,1.69680860530914
2019-01-08,AU,1264,59120,2.18676881244392
2019-01-08,CA,4818,266728,1.78760466992705
2019-01-08,DE,11546,571335,2.01778036366219
2019-01-08,ES,1047,32432,3.13686116731534
2019-01-08,FR,6786,271383,2.54855254072522
2019-01-08,GB,8302,382483,2.17162763517061
2019-01-08,IE,790,19159,4.07775118506514
2019-01-08,IN,8476,213515,3.83435291751456
2019-01-08,SG,1707,29414,5.8103968810591
2019-01-08,US,75647,4325427,1.70397081215997
2019-01-09,AU,1298,61049,2.17445380322452
2019-01-09,CA,4812,269958,1.78537195981769
2019-01-09,DE,11616,581637,2.01552952785255
2019-01-09,ES,1013,32625,3.13506444302159
2019-01-09,FR,6797,274131,2.53462702884759
2019-01-09,GB,8226,391166,2.15465926447577
2019-01-09,IE,783,19348,4.06343986263684
2019-01-09,IN,8361,214642,3.86026713641393
2019-01-09,SG,1706,29557,5.8025174081605
2019-01-09,US,73881,4331777,1.70513472870344
2019-01-10,AU,1310,62492,2.15992429779739
2019-01-10,CA,4904,273734,1.78635726591246
2019-01-10,DE,11675,586546,2.01102442109055
2019-01-10,ES,1005,32852,3.12575698955663
2019-01-10,FR,6833,277130,2.520808705969
2019-01-10,GB,8302,398154,2.13861678180978
2019-01-10,IE,783,19637,4.05631662161187
2019-01-10,IN,8411,217079,3.88375105538321
2019-01-10,SG,1714,29727,5.80075616595064
2019-01-10,US,74168,4353493,1.70906327049866
2019-01-11,AU,1328,63665,2.14411183529602
2019-01-11,CA,4941,276938,1.78664416665111
2019-01-11,DE,11653,587160,2.00477339933435
2019-01-11,ES,978,32672,3.10694166286567
2019-01-11,FR,6774,276518,2.50420080512241
2019-01-11,GB,8139,401083,2.11890309488802
2019-01-11,IE,767,19745,4.03546246015358
2019-01-11,IN,8427,217061,3.88535134808789
2019-01-11,SG,1683,29742,5.78056734346574
2019-01-11,US,73549,4378539,1.7059984649561
2019-01-12,AU,1284,60857,2.13584677081578
2019-01-12,CA,4840,274195,1.78778698554697
2019-01-12,DE,11840,595800,2.00069907841984
2019-01-12,ES,955,31988,3.08302050827218
2019-01-12,FR,6738,275724,2.48906921295658
2019-01-12,GB,8017,403372,2.10021997136666
2019-01-12,IE,740,19564,4.00191231132854
2019-01-12,IN,8206,213867,3.89159251880499
2019-01-12,SG,1665,29133,5.76902958445844
2019-01-12,US,72442,4336435,1.70336136368887
2019-01-13,AU,1322,62017,2.12546259538683
2019-01-13,CA,4932,276805,1.78716641206744
2019-01-13,DE,11827,595420,1.99725508194403
2019-01-13,ES,955,32032,3.06402556003247
2019-01-13,FR,6806,275352,2.47795021833999
2019-01-13,GB,8191,404239,2.08140356461125
2019-01-13,IE,761,19890,3.96739381581738
2019-01-13,IN,8405,213931,3.89637897203791
2019-01-13,SG,1694,29472,5.75330713189966
2019-01-13,US,74120,4384783,1.7010953816998
2019-01-14,AU,1325,62606,2.11490290864542
2019-01-14,CA,4891,274224,1.78500190978372
2019-01-14,DE,11807,593377,1.99378248201061
2019-01-14,ES,965,31756,3.05593159796368
2019-01-14,FR,6740,273123,2.46837464491207
2019-01-14,GB,8103,395845,2.06409448912925
2019-01-14,IE,752,19686,3.92438447249862
2019-01-14,IN,8361,212048,3.90439844447266
2019-01-14,SG,1703,29523,5.74730067758393
2019-01-14,US,74002,4361724,1.69934447225648
2019-01-15,AU,1330,64173,2.10554553076035
2019-01-15,CA,4925,275998,1.78187314942308
2019-01-15,DE,11540,593247,1.98297475949787
2019-01-15,ES,983,31984,3.03380569252735
2019-01-15,FR,6507,275775,2.44823280765488
2019-01-15,GB,8191,402048,2.04506090937031
2019-01-15,IE,762,19959,3.88073276658247
2019-01-15,IN,8189,211705,3.88988042416214
2019-01-15,SG,1708,29529,5.7445557426839
2019-01-15,US,71876,4363666,1.684809647644
2019-01-16,AU,1351,66564,2.0917547694436
2019-01-16,CA,4983,281394,1.78020560230251
2019-01-16,DE,11530,595342,1.97434333279279
2019-01-16,ES,979,32280,3.02349952502339
2019-01-16,FR,6518,278583,2.42826512062583
