modified_date,jobcountry,GenAI_count,total,ma_share_perc,AI_count
2019-01-01,AU,3,55793,0.00537701862240783,
2019-01-01,CA,3,261172,0.00114866831053865,
2019-01-01,DE,0,569676,0,
2019-01-01,ES,0,32494,0,
2019-01-01,FR,2,270992,0.000738029166912676,
2019-01-01,GB,2,366498,0.000545705570016753,
2019-01-01,IE,1,18110,0.00552181115405853,
2019-01-01,SG,2,28801,0.00694420332627339,
2019-01-01,US,46,4256469,0.00108070797649413,
2019-01-02,AU,3,56817,0.00532856422434611,
2019-01-02,CA,3,260215,0.00115078055536156,
2019-01-02,DE,0,567645,0,
2019-01-02,ES,0,32333,0,
2019-01-02,FR,2,269233,0.000740440077359389,
2019-01-02,GB,2,364357,0.000547308881638879,
2019-01-02,IE,1,18109,0.00552196361446921,
2019-01-02,SG,2,28934,0.00692824322669514,
2019-01-02,US,47,4250119,0.00109327968279821,
2019-01-03,AU,3,57280,0.00529818620542999,
2019-01-03,CA,3,263473,0.00114673256908747,
2019-01-03,DE,0,569040,0,
2019-01-03,ES,0,32487,0,
2019-01-03,FR,2,270454,0.000740125814820404,
2019-01-03,GB,2,371117,0.000544510455781108,
2019-01-03,IE,1,18478,0.00548525611242783,
2019-01-03,SG,2,28954,0.00692133163836272,
2019-01-03,US,48,4293188,0.00110153654499998,
2019-01-04,AU,3,57862,0.00526982713462968,
2019-01-04,CA,3,266701,0.00114126322053966,
2019-01-04,DE,0,568972,0,
2019-01-04,ES,0,32511,0,
2019-01-04,FR,2,270849,0.000739699067058467,
2019-01-04,GB,2,377252,0.000540920243890691,
2019-01-04,IE,1,18881,0.00543802449521013,
2019-01-04,SG,2,29138,0.00690697099866016,
2019-01-04,US,49,4321500,0.00110961879773529,
2019-01-05,AU,3,56511,0.00527760189987872,
2019-01-05,CA,3,264915,0.00113949831778273,
2019-01-05,DE,0,571545,0,
2019-01-05,ES,0,32097,0,
2019-01-05,FR,2,270741,0.000739501930226974,
2019-01-05,GB,2,380073,0.000537979135284572,
2019-01-05,IE,1,18719,0.00541885273896419,
2019-01-05,SG,2,28520,0.00692810134310765,
2019-01-05,US,50,4278561,0.00112141847931716,
2019-01-06,AU,2,56615,0.00498677369898487,
2019-01-06,CA,3,265942,0.00113759285115982,
2019-01-06,DE,0,570473,0,
2019-01-06,ES,0,32302,0,
2019-01-06,FR,2,269927,0.000739741786731154,
2019-01-06,GB,2,380122,0.000536007090843295,
2019-01-06,IE,1,19151,0.00538598718969868,
2019-01-06,SG,2,28850,0.00692881928794499,
2019-01-06,US,50,4311083,0.00112781562894019,
2019-01-07,AU,2,57343,0.00477263231861738,
